id,name,year,site
0,St Petersburg-ch,1997,St Petersburg
1,FRA-chT9697 final,1997,Clichy
2,Linz,1997,Linz
3,Shavuot Masters,1997,Tel Aviv
4,Oberwart op,1997,Oberwart
5,Politiken Cup,1997,Copenhagen
6,Komercni Banka op,1997,Pardubice
7,MK Cafe op-A,1997,Koszalin
8,Budapest FS09 IM,1997,Budapest
9,AUT-chT2S 9798,1997,Austria
10,COOP XXIII,1997,Buenos Aires
11,Hellir op,1997,Reykjavik
12,Budapest FS11 IM-A,1997,Budapest
13,AUT-chT3 9798,1997,Vorarlberg 
14,Oberliga Wuert9798,1997,Wuerttemberg
15,CZE-chT 9798,1998,CZE
16,Melbourne Black Opal,1998,Melbourne
17,Cappelle op,1998,Cappelle la Grande
18,FRA-chT,1998,FRA
19,Stadtcasino op 3rd,1998,Baden
20,Torino op,1998,Torino
21,Keres mem op,1998,Tallin
22,SVK-ch,1998,Prievidza
23,NOR-ch,1998,Oslo
24,RUS-Cup06,1998,Nizhnij Novgorod
25,RUS-Cup07,1998,Tomsk
26,MK Cafe Cup-A,1998,Koszalin
27,Hampstead GM3,1998,Hampstead
28,Hampstead IM3,1998,Hampstead
29,GER-ENG (Women),1998,Dresden
30,POL-chTJ,1998,Rowy
31,Krynica zt,1998,Krynica
32,Pinneberg op,1998,Pinneberg
33,Festuge M2,1998,Aarhus
34,Itau Mercosul Cup 2nd,1998,Sao Paulo
35,Elista ol (Men),1998,Elista
36,Budapest FS10 GM,1998,Budapest
37,SWE-chT 9899,1998,Sweden
38,Najdorf op,1998,Buenos Aires
39,Chigorin mem,1998,St. Petersburg
40,Villa Martelli op,1998,Villa Martelli
41,Budapest FS11 IM-B,1998,Budapest
42,Iona Tech Masters,1998,Kilkenny
43,Young Masters 6th,1998,Loures
44,Clichy,1998,Clichy
45,Reggio Emilia 41th,1999,Reggio Emilia 
46,Excelsior Cup,1999,Goteborg
47,ISR-chT,1999,Israel
48,BCF-chT 98/99 (4NCL),1999,GBR
49,BL2-W9899,1999,Germany
50,Bucharest TIT (Women),1999,Bucharest
51,Schloss Open A 5th,1999,Werther
52,Dreifluesse op 7th,1999,Passau
53,NED-ch U20 ,1999,Leiden
54,Budapest FS05 IM,1999,Budapest
55,Salongernas Elo,1999,Stockholm
56,Fan Adams Int f-A,1999,New York
57,World op Champions,1999,Philadelphia
58,White Nights,1999,St Petersburg
59,Quebec op,1999,Montreal
60,Montecatini Terme op 8th,1999,Montecatini Terme
61,MK Cafe Cup-B,1999,Koszalin
62,Polanica Zdroj op,1999,Polanica Zdroj
63,ESP-ch,1999,Palencia
64,BIH-chT,1999,Bihac
65,Brasilia Cup 3th,1999,Brasilia
66,EU-ch U14 Girls,1999,Litohoto
67,EU-ch U16,1999,Litohoto
68,KGSRL Masters 2nd,1999,Gent
69,Artek olJ,1999,Artek
70,CRO-chT,1999,Pula
71,Arco op,1999,Arco
72,Zone 3.2a Women,2001,Manila PHI
73,10th AKN Weekender,2001,Haarlem NED
74,Open A,2007,Klatovy CZE
75,12th European Maccabi Games,2007,Rome ITA
76,Canadian Open,2007,Ottawa CAN
77,ch-Odessa Region,2008,Odessa UKR
78,17th Korensky Memorial,2008,Tambow RUS
79,ch-UKR b18,2010,Kyiv UKR
80,ch-VIE Playoff,2010,Ho Chi Minh City VIE
81,Aberto do Brasil,2010,Fortaleza BRA
82,16th HIT Open,2011,Nova Gorica SLO
83,Spring Cup LCC 2011,2011,Lviv UKR
84,20th Poznan Open,2011,Poznan POL
85,PK NBSB Open A,2011,Roosendaal NED
86,Campomanes Mem GM,2011,Yangon MYA
87,10th Forchheim Open,2011,Forchheim GER
88,2nd JAHV McGregor Open,2011,Bogota COL
89,3rd Jerry Hanken FIDE Open,2012,Stillwater USA
90,21st Chicago Open,2012,Wheeling USA
91,Prva liga RS seniori 2012,2012,Banja Vrucica SRB
92,WY BU14 2012,2012,Maribor SLO
93,PSC Cup 2013,2013,Manila PHI
94,Turkey Cup 2014,2014,Kemer TUR
95,FSFMA September 2014,2014,Budapest HUN
96,World Youth Girls U16 2014,2014,Durban RSA
